system:index,mean_ndvi,month,year,.geo
0,0.12189838778119934,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.15165081646125414,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.14999131962966086,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.1673244032380303,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.17296508115331172,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.17248273883365797,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.16996839234552286,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.15459149461716848,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.14100882517476682,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.12342874760100955,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.12399652894590593,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.10964237546362847,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.14509815920207414,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.19177437073435744,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1982139393559596,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.18379528257010136,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.20727214298952887,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.1881689566836668,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.19462055346779059,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.17856768498401085,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.15295581419812318,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.13531809189875257,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.12809619310456566,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1400023637449059,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.16776549319263578,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.21565025545811475,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.21357399698617527,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.2197879943473907,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.23579858270869128,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.2377862585765257,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.22018260039048013,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.19787663224538948,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.1770042991775204,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.15522727592582164,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.14637052993422894,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.13168187436323978,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.1312651208256031,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.14925929706481464,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.15168597751565685,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.17554617891666988,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.17372544175429047,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.21044161473713402,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.22352297253887576,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1966309846279317,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.19252968610547871,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.17918295587551117,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.1570541486248954,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.1399380659089816,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.14162476368657922,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.1545495293855465,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.15408535999315615,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.19207601654228654,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.18797101897781227,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.1873923159263909,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.17807759113393568,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.1587168585210723,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.13966725438275746,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.13764822029152135,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.126760192613949,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.1161283726879366,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.10891120860086338,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.13170808375866297,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.16797884551431,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.1816826587418242,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.1825010267860571,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.18604685445960228,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.20456583426051828,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.19708657733750243,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.17098706550621365,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.17875752420837415,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.15164893079913278,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.17769397478408158,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
